"id","house_id","city_name","rooms","cost","tweet_id","c_counter"
58,281723,"Barcelona",1,1107,"1354239684029853701",0
59,588728,"Valencia",3,1043,"1354241071304372228",0
60,172102,"Oviedo",1,1033,"1354243464981065732",0
61,1054942,"Barcelona",2,920,"1354245355651653633",0
62,1811737,"Valencia",3,505,"1354248001628360704",0
63,2054635,"Madrid",1,827,"1354249388801937408",0
64,919260,"Ibiza",2,1407,"1354251279711657984",0
65,270825,"Bilbao",4,1371,"1354253925537472518",0
66,2038725,"Sevilla",4,655,"1354255564700839937",0
67,1957971,"Madrid",2,769,"1354258210828529667",0
68,338659,"Sevilla",5,1041,"1354260353228681219",0
69,549150,"Barcelona",4,963,"1354262495582703623",0
70,1623041,"Oviedo",2,1292,"1354263883180027906",0
72,1352932,"Bilbao",2,953,"1354267664575832066",0
73,1446952,"Barcelona",1,876,"1354269052038995968",0
74,1741495,"Valencia",1,665,"1354271446160330756",0
75,98150,"Ibiza",5,735,"1354273588652736513",0
76,1625530,"Valencia",1,1118,"1354275982753079298",0
78,1261554,"Barcelona",2,1248,"1354280267519832066",0
79,428924,"Ibiza",3,1335,"1354282410037411844",0
80,703444,"Madrid",5,595,"1354285055879897089",0
81,1588254,"Sevilla",1,542,"1354287701516820480",0
82,428503,"Bilbao",1,1240,"1354290347078258690",0
83,432262,"Bilbao",2,1246,"1354292741019234306",0
84,44718,"Valencia",2,434,"1354295386660347904",0
85,1786678,"Barcelona",2,1021,"1354296774282928128",0
86,1284656,"Madrid",2,1042,"1354298413345611777",0
87,177513,"Oviedo",4,1391,"1354299800754257926",0
89,665552,"Ibiza",1,626,"1354304337187581952",0
90,724503,"Valencia",5,1231,"1354306227736612864",0
92,584183,"Bilbao",1,1009,"1354311518813364224",0
93,1254279,"Sevilla",5,826,"1354312906280726528",0
94,637745,"Madrid",4,797,"1354314293416783873",0
95,235147,"Sevilla",1,731,"1354316939217268736",0
96,926655,"Ibiza",3,679,"1354319584501837824",0
97,1517279,"Barcelona",4,1205,"1354321475159863296",0
98,1282698,"Barcelona",1,675,"1354324120675217412",0
99,2082909,"Oviedo",4,1374,"1354326766307971072",0
100,1072368,"Bilbao",1,967,"1354328656663998464",0
101,817883,"Ibiza",1,1168,"1354330547485614081",0
102,333092,"Sevilla",1,1227,"1354332689478934530",0
103,1964520,"Valencia",5,985,"1354335334834823175",0
104,1194689,"Barcelona",2,458,"1354337728914202624",0
105,1380248,"Bilbao",1,1075,"1354339116327038978",0
106,739343,"Oviedo",2,1143,"1354341510196686849",0
107,862768,"Sevilla",5,750,"1354342897706012672",0
108,70150,"Bilbao",1,1073,"1354345291902840833",0
109,1633404,"Valencia",3,632,"1354346930898403329",0
110,2059318,"Madrid",2,846,"1354348821686464513",0
111,650507,"Valencia",2,1318,"1354350209250308098",0
112,1694520,"Barcelona",1,1412,"1354352099971227648",0
113,443203,"Barcelona",1,1247,"1354354745780170753",0
71,91999,"Barcelona",5,706,"1354265522024701964",1
1,585864,"Bilbao",4,434,"1352945082241081346",1
6,143608,"Barcelona",1,403,"1354140611138506753",1
30,1514068,"Barcelona",1,719,"1354189514152046592",1
9,35661,"Valencia",5,1356,"1354146032255438848",1
15,641409,"Sevilla",5,1355,"1354160145249554437",1
91,495757,"Barcelona",4,736,"1354308873335828482",1
77,457102,"Barcelona",5,1177,"1354278125060947969",1
88,1381205,"Barcelona",5,560,"1354301943221538816",1
14,1438230,"Barcelona",3,884,"1354157750884950019",1
32,1767007,"Barcelona",2,1139,"1354192540250103808",1
114,1893828,"Sevilla",1,581,"1354357139750453248",0
115,466194,"Valencia",5,1337,"1354358527054196736",0
116,929972,"Valencia",2,1191,"1354360921192337413",0
117,354113,"Bilbao",3,1486,"1354363567026425858",0
118,994420,"Barcelona",1,455,"1354365457546043393",0
119,30273,"Valencia",5,759,"1354367096533245952",0
120,1840016,"Barcelona",4,946,"1354369742103048194",0
121,499611,"Ibiza",1,724,"1354372136102735873",0
122,1509820,"Ibiza",4,1220,"1354373523314245632",0
123,803658,"Madrid",4,1272,"1354374910580289538",0
124,1365109,"Madrid",1,1090,"1354377304437350402",0
125,1291902,"Sevilla",3,1361,"1354379195229597697",0
126,790765,"Bilbao",1,1318,"1354380582197862400",0
127,68679,"Oviedo",1,919,"1354382724728029184",0
128,1230706,"Madrid",5,1180,"1354385370000084992",0
129,1805508,"Ibiza",3,1250,"1354388015637012485",0
130,1813428,"Barcelona",5,708,"1354390409464733697",0
131,1360992,"Madrid",4,930,"1354392048586137601",0
132,1011181,"Bilbao",5,631,"1354393687392989188",0
133,1233264,"Bilbao",5,1239,"1354395074856148996",0
134,1493387,"Sevilla",3,784,"1354396462063431681",0
135,55790,"Bilbao",1,1048,"1354399107738202114",0
136,853207,"Sevilla",2,1231,"1354400494735732737",0
137,1945570,"Bilbao",5,840,"1354402133592989700",0
138,1869533,"Oviedo",5,457,"1354403772626300928",0
139,1746816,"Ibiza",4,1165,"1354405663598903300",0
140,22919,"Madrid",4,1204,"1354407051129200642",0
141,2026536,"Valencia",3,1314,"1354409696959070209",0
142,798465,"Ibiza",4,457,"1354411336160182275",0
143,2001905,"Valencia",1,697,"1354413226495254533",0
144,464107,"Sevilla",4,1157,"1354415872320942083",0
145,157160,"Barcelona",2,842,"1354417259792527361",0
146,1154692,"Oviedo",5,920,"1354419150765096961",0
147,576871,"Oviedo",4,1069,"1354421041494372353",0
148,1250613,"Sevilla",2,1051,"1354423435473154049",0
149,285142,"Ibiza",3,1200,"1354426081298804736",0
150,918406,"Barcelona",5,1114,"1354427468350967811",0
151,1552278,"Sevilla",2,968,"1354429359248060416",0
152,914029,"Ibiza",4,584,"1354432004855648257",0
153,930431,"Barcelona",5,1298,"1354434399106957316",0
154,714926,"Sevilla",4,953,"1354434779681333249",0
155,507489,"Barcelona",4,773,"1354436167094181889",0
156,1637967,"Madrid",1,830,"1354438309242662913",0
157,1335311,"Madrid",1,1374,"1354440199825203200",0
158,516380,"Ibiza",2,1288,"1354441839139581956",0
159,726935,"Bilbao",4,760,"1354444233046896640",0
160,859989,"Bilbao",4,881,"1354445872369700864",0
161,1822863,"Bilbao",3,1258,"1354447763208085504",0
162,738221,"Madrid",3,1123,"1354449905755058177",0
163,1020579,"Madrid",2,1153,"1354452048213897222",0
165,34049,"Barcelona",3,1235,"1354456333244895236",0
166,1940211,"Ibiza",3,517,"1354457972357935104",0
167,1299524,"Madrid",2,592,"1354459611085070336",0
168,1840406,"Madrid",1,755,"1354461753615278083",0
169,1702962,"Bilbao",4,1397,"1354463895818272773",0
170,1038815,"Bilbao",5,551,"1354466290199629833",0
171,1751721,"Sevilla",1,595,"1354468180979290112",0
172,1882777,"Sevilla",5,480,"1354469568627036170",0
173,1102783,"Oviedo",5,505,"1354471459385724928",0
174,389126,"Oviedo",4,1118,"1354473350169554949",0
175,669287,"Bilbao",1,1410,"1354474737691488257",0
176,555473,"Valencia",1,403,"1354477131770843137",0
177,1713848,"Ibiza",1,1143,"1354478519015895041",0
178,1904425,"Sevilla",3,563,"1354480410198204418",0
179,1824764,"Bilbao",4,1339,"1354481797715922953",0
180,1783879,"Ibiza",5,1061,"1354483437026074626",0
181,275211,"Ibiza",3,1072,"1354485076172673024",0
182,180174,"Madrid",1,656,"1354487218681901056",0
183,653531,"Ibiza",1,1043,"1354488606153437184",0
184,1408652,"Madrid",2,1372,"1354490245341990914",0
185,85265,"Madrid",3,734,"1354492639513600002",0
186,1989737,"Sevilla",4,1387,"1354494027052281856",0
187,585771,"Oviedo",5,951,"1354495414460944394",0
188,1068036,"Bilbao",4,1032,"1354497556924010497",0
189,22017,"Madrid",4,1396,"1354497937469009927",0
190,1115949,"Bilbao",5,1091,"1354499576640757761",0
191,987522,"Madrid",4,900,"1354501719149973510",0
192,2069186,"Barcelona",2,404,"1354503106244063238",0
193,1650186,"Sevilla",4,1087,"1354504997451538433",0
194,2056559,"Madrid",3,686,"1354506888327684100",0
195,1447284,"Valencia",5,716,"1354509533696167939",0
196,835284,"Barcelona",1,1222,"1354511675869847553",0
197,1767194,"Oviedo",1,1164,"1354514321590677505",0
198,1470854,"Barcelona",3,1467,"1354515709318074369",0
199,915520,"Oviedo",3,1252,"1354518103556845571",0
200,1373350,"Valencia",3,1309,"1354519994533621762",0
201,1576599,"Sevilla",5,1368,"1354521382303002624",0
202,1071805,"Oviedo",5,1018,"1354523776575295492",0
203,1543279,"Bilbao",1,407,"1354525415818334216",0
204,586236,"Madrid",3,782,"1354527055325634560",0
205,1150798,"Oviedo",4,579,"1354529449551790082",0
206,674490,"Barcelona",4,1322,"1354531088341889024",0
207,2021155,"Bilbao",5,1346,"1354532978798551044",0
208,816918,"Madrid",1,933,"1354534618037420035",0
209,222527,"Madrid",5,603,"1354537012439736321",0
210,926057,"Bilbao",2,830,"1354538651649253381",0
211,239519,"Bilbao",4,1098,"1354541297500119046",0
212,1768714,"Valencia",4,604,"1354542685156216832",0
213,1036083,"Ibiza",5,480,"1354545079369740290",0
214,1412158,"Oviedo",2,556,"1354546970065559554",0
215,1354368,"Madrid",3,730,"1354549616017080320",0
216,1031363,"Sevilla",2,415,"1354552010314493952",0
217,141536,"Ibiza",4,1197,"1354554404691709953",0
218,408882,"Bilbao",3,531,"1354556295479758848",0
219,195648,"Oviedo",5,1257,"1354557934672424962",0
220,260015,"Valencia",5,481,"1354559825439563779",0
221,1304579,"Ibiza",2,1303,"1354561464598671364",0
222,1128342,"Madrid",2,1058,"1354563103762092033",0
223,582936,"Ibiza",2,605,"1354564742799642625",0
224,1226043,"Bilbao",4,502,"1354567388797292546",0
225,579458,"Barcelona",1,433,"1354569531763654668",0
226,584726,"Valencia",2,1406,"1354572177237020672",0
227,724956,"Barcelona",4,497,"1354573816429764609",0
228,1658817,"Bilbao",1,1043,"1354575204006178818",0
229,161914,"Valencia",4,564,"1354577598152658945",0
230,1779659,"Oviedo",1,1312,"1354579992051646478",0
231,263225,"Bilbao",4,1018,"1354581631345029125",0
232,1506261,"Sevilla",2,1107,"1354583773766156292",0
233,1609134,"Sevilla",4,634,"1354584154499907585",0
234,503667,"Sevilla",3,1080,"1354586548558290945",0
235,225592,"Oviedo",2,619,"1354588187797180416",0
236,1913405,"Barcelona",4,1187,"1354590582056882176",0
237,1617582,"Valencia",2,1394,"1354592975620366337",0
238,701286,"Ibiza",2,819,"1354595118033072134",0
239,775819,"Madrid",4,1368,"1354596505357852676",0
240,886630,"Oviedo",5,809,"1354598144462487559",0
241,721128,"Madrid",4,923,"1354599783437111296",0
242,814756,"Bilbao",3,854,"1354601422608867330",0
243,1115398,"Ibiza",2,765,"1354603061713502216",0
244,892484,"Madrid",1,1171,"1354604700704911360",0
245,565590,"Oviedo",4,472,"1354606843172184064",0
246,1081403,"Sevilla",5,1407,"1354608230681505794",0
247,1439166,"Valencia",3,712,"1354610121498914818",0
248,1361617,"Madrid",1,573,"1354612263886462976",0
249,1481428,"Oviedo",2,915,"1354614657898729473",0
250,2084241,"Madrid",3,929,"1354616800391155714",0
251,1518351,"Bilbao",2,464,"1354618439671934977",0
252,594410,"Bilbao",1,817,"1354620330493534211",0
253,284479,"Oviedo",1,688,"1354621717948362755",0
254,1627657,"Ibiza",2,1006,"1354623105000501250",0
255,904703,"Barcelona",2,682,"1354625750687748099",0
256,326357,"Barcelona",2,1282,"1354627138121592833",0
257,992769,"Valencia",2,804,"1354629280601436161",0
258,374691,"Valencia",1,1035,"1354631925961547778",0
259,1970046,"Madrid",5,1351,"1354633816791539718",0
260,1823374,"Bilbao",4,1066,"1354636210950516738",0
261,495652,"Madrid",1,1386,"1354638856688173056",0
262,1205645,"Valencia",4,830,"1354641250905948162",0
263,2047695,"Madrid",3,958,"1354641631316762632",0
264,1028863,"Barcelona",5,1062,"1354644025576456193",0
265,1529621,"Madrid",5,489,"1354646168140193797",0
266,2084222,"Ibiza",4,1025,"1354648058668216327",0
267,1385933,"Valencia",1,1051,"1354648438839930882",0
268,869669,"Valencia",1,413,"1354650832629714944",0
269,582526,"Sevilla",4,512,"1354652220097257474",0
270,1512589,"Sevilla",3,1228,"1354652600604438529",0
271,841578,"Oviedo",2,1208,"1354654994574802945",0
272,1997791,"Bilbao",2,1166,"1354656633696215040",0
273,1530838,"Valencia",3,1109,"1354659027452633093",0
274,2053825,"Ibiza",5,863,"1354660918068715525",0
275,1279940,"Barcelona",3,409,"1354662808512835584",0
276,631908,"Sevilla",5,1429,"1354664951013629955",0
277,241111,"Ibiza",1,1464,"1354667345139159040",0
278,1958470,"Barcelona",1,1051,"1354668984541585410",0
279,923876,"Madrid",5,1107,"1354670875312848897",0
280,167074,"Madrid",1,897,"1354672765853433856",0
281,1795966,"Bilbao",1,1370,"1354674656633090048",0
282,995853,"Valencia",1,549,"1354676043693629442",0
283,2045434,"Valencia",2,1284,"1354678437827510278",0
284,2037009,"Oviedo",5,791,"1354681083787358208",0
285,430338,"Barcelona",1,575,"1354683477640286208",0
286,864752,"Barcelona",1,1099,"1354685367866306561",0
287,623984,"Valencia",5,1125,"1354687761756917760",0
288,398769,"Ibiza",1,1026,"1354690155832094727",0
289,711850,"Ibiza",1,1077,"1354691543295266816",0
290,134009,"Oviedo",3,512,"1354693182525734914",0
291,1173258,"Sevilla",2,1460,"1354695073183752193",0
292,283202,"Barcelona",2,1117,"1354696712087072770",0
293,367292,"Bilbao",2,946,"1354698099172716550",0
294,1892057,"Bilbao",1,980,"1354700493075984384",0
295,110752,"Ibiza",3,578,"1354702887130161152",0
296,1963656,"Valencia",5,1309,"1354704526108930048",0
297,1548096,"Madrid",4,1414,"1354706165125541892",0
298,996774,"Barcelona",2,665,"1354707552479621120",0
299,1032901,"Ibiza",3,1190,"1354709946294788098",0
300,591231,"Ibiza",4,1414,"1354711837011550209",0
301,104554,"Barcelona",3,628,"1354713979713712130",0
302,354715,"Bilbao",1,634,"1354715870329794561",0
303,622687,"Ibiza",5,885,"1354718515987668995",0
304,133958,"Barcelona",4,1227,"1354720155113291776",0
305,38051,"Barcelona",2,1128,"1354722549146537985",0
306,1318813,"Madrid",1,854,"1354724691068518404",0
307,372676,"Valencia",3,1237,"1354726582355681280",0
308,1923628,"Barcelona",3,1414,"1354728221577768963",0
309,1945541,"Sevilla",3,737,"1354730867348877313",0
310,1124883,"Barcelona",3,1115,"1354733009853943808",0
311,276402,"Sevilla",3,667,"1354734648497209344",0
312,1801274,"Sevilla",1,1127,"1354736035763249153",0
313,742340,"Sevilla",4,879,"1354738429746143234",0
314,208751,"Barcelona",4,1301,"1354741075110490113",0
315,138100,"Madrid",2,1441,"1354743217279918080",0
316,2011981,"Bilbao",3,663,"1354744604810211329",0
317,1732904,"Oviedo",4,1236,"1354746495505842178",0
318,1232237,"Valencia",5,1256,"1354748889455321088",0
319,1162182,"Ibiza",1,1388,"1354750528237015049",0
320,1762283,"Oviedo",3,1348,"1354750908551278593",0
321,1271754,"Bilbao",5,1112,"1354753302475452416",0
322,482466,"Bilbao",4,743,"1354755696303222785",0
323,1121758,"Bilbao",5,1449,"1354757838812438532",0
324,1970406,"Barcelona",2,1030,"1354759729143296000",0
325,595890,"Sevilla",4,434,"1354761871686053890",0
326,1673822,"Bilbao",1,756,"1354762252193312771",0
327,1149971,"Barcelona",5,425,"1354763891243446274",0
328,13724,"Ibiza",5,678,"1354766537014599684",0
329,950522,"Valencia",4,628,"1354769182425018370",0
330,1477753,"Ibiza",4,1428,"1354771576009465857",0
331,160176,"Ibiza",1,539,"1354773466881339392",0
332,136566,"Barcelona",3,653,"1354775106145443844",0
333,59699,"Madrid",4,1256,"1354776997084454915",0
334,789361,"Barcelona",1,600,"1354779139836964864",0
335,715856,"Oviedo",5,1354,"1354781030570463235",0
336,25995,"Barcelona",3,654,"1354782418201403395",0
337,1615440,"Madrid",1,1185,"1354784057150885891",0
338,897239,"Valencia",4,946,"1354785947829866499",0
339,138751,"Oviedo",2,446,"1354787335339208707",0
340,667371,"Ibiza",3,470,"1354788974523523076",0
341,1757352,"Valencia",5,579,"1354791368699375618",0
342,1456990,"Oviedo",2,1263,"1354794014592151553",0
343,531352,"Oviedo",1,809,"1354796660321259520",0
344,272934,"Bilbao",1,468,"1354799306239172612",0
345,2040529,"Bilbao",5,1263,"1354801449163661315",0
346,807334,"Oviedo",3,1344,"1354803843737952262",0
347,651381,"Oviedo",2,867,"1354805231729532928",0
348,371712,"Barcelona",3,865,"1354807878448607237",0
349,1073424,"Valencia",1,1207,"1354809267056852994",0
350,892503,"Sevilla",2,1345,"1354811913562013697",0
351,1105549,"Barcelona",2,1119,"1354814560885043203",0
352,1490281,"Barcelona",3,876,"1354816452222586885",0
353,955885,"Oviedo",5,826,"1354818846943657988",0
354,804024,"Madrid",4,1255,"1354820486778114054",0
355,367762,"Barcelona",3,441,"1354822378321137671",0
356,273038,"Valencia",3,1287,"1354824017710993418",0
357,225936,"Madrid",3,526,"1354825657516052480",0
358,1084534,"Sevilla",3,1225,"1354827296859770884",0
359,837666,"Madrid",4,948,"1354828936396595207",0
360,1471514,"Ibiza",3,1479,"1354831078985498626",0
361,46804,"Ibiza",4,803,"1354832466620653572",0
362,1870077,"Madrid",3,1391,"1354834860939096071",0
363,1630331,"Oviedo",3,1394,"1354836248452599818",0
364,831074,"Sevilla",5,1162,"1354837887263637506",0
365,794841,"Barcelona",2,655,"1354839275553099788",0
366,1278524,"Ibiza",5,1264,"1354841166567665667",0
367,1499479,"Bilbao",1,1138,"1354843812263317511",0
368,464169,"Ibiza",4,1369,"1354846206502035458",0
369,831219,"Barcelona",1,745,"1354847594103631872",0
370,3941,"Bilbao",2,444,"1354849233325740036",0
371,549907,"Madrid",3,1209,"1354850872598126593",0
372,1725124,"Valencia",3,723,"1354853014935318530",0
373,813544,"Madrid",4,705,"1354855408976998401",0
374,1538954,"Oviedo",1,896,"1354857299744067590",0
375,1554666,"Bilbao",5,1097,"1354858686863302656",0
376,852466,"Barcelona",2,1017,"1354861080959475714",0
377,1090563,"Sevilla",1,520,"1354863726848053251",0
378,1837401,"Barcelona",2,1099,"1354865617560596481",0
379,66851,"Bilbao",1,1311,"1354865998114004997",0
380,1730328,"Bilbao",4,1197,"1354867385719791617",0
381,1745307,"Oviedo",5,1373,"1354869779832647684",0
382,1719602,"Barcelona",5,1498,"1354872425704468480",0
383,731882,"Sevilla",3,819,"1354874316328988672",0
384,603986,"Bilbao",3,1092,"1354876458578173955",0
385,5583,"Bilbao",3,860,"1354877846217519104",0
386,1112026,"Sevilla",4,632,"1354879988818968577",0
387,1343950,"Ibiza",5,1220,"1354882634783055874",0
388,1768842,"Oviedo",3,940,"1354884525814394882",0
389,251602,"Bilbao",5,1072,"1354886165367828490",0
390,1590139,"Ibiza",1,595,"1354888308028006401",0
391,979347,"Sevilla",1,686,"1354889947027812352",0
392,1868773,"Sevilla",3,870,"1354892341367156738",0
393,1419306,"Oviedo",5,1259,"1354894237255532547",0
394,594434,"Madrid",1,811,"1354896128119103488",0
395,1426735,"Ibiza",4,806,"1354898018936483843",0
396,1267107,"Barcelona",5,1298,"1354899658150191107",0
397,1740902,"Barcelona",5,663,"1354902303871000580",0
398,1881618,"Sevilla",3,993,"1354903943281864708",0
399,1022735,"Valencia",1,1302,"1354906589069799424",0
400,1240324,"Valencia",3,772,"1354907976918847495",0
401,781399,"Valencia",3,521,"1354910119436427265",0
402,1329966,"Madrid",1,1054,"1354912765400518662",0
403,928314,"Bilbao",4,1071,"1354914907855138819",0
404,10914,"Madrid",2,1165,"1354916295242874884",0
405,1391258,"Ibiza",5,1121,"1354917934452375553",0
406,1483774,"Valencia",3,678,"1354919322179796994",0
407,2070984,"Sevilla",5,1303,"1354920710024663047",0
408,456204,"Valencia",1,1337,"1354922600754016259",0
409,1686324,"Bilbao",1,673,"1354924492959731714",0
410,128281,"Valencia",3,431,"1354926383827398659",0
411,1535606,"Ibiza",2,1035,"1354928274502283264",0
412,1494233,"Barcelona",3,662,"1354930920277626880",0
413,842293,"Bilbao",3,639,"1354932811057278982",0
414,1805869,"Ibiza",5,883,"1354934701878894592",0
415,1352977,"Ibiza",4,1203,"1354937347578736649",0
416,518914,"Madrid",2,584,"1354938735058628622",0
417,1614682,"Madrid",2,539,"1354941380729180170",0
418,527586,"Oviedo",3,773,"1354944026177392642",0
419,252036,"Valencia",5,888,"1354946671982075905",0
420,291023,"Madrid",1,838,"1354948059575308289",0
421,1725123,"Ibiza",4,829,"1354950201946103809",0
422,1075377,"Barcelona",4,1004,"1354951841222684683",0
423,1484908,"Sevilla",1,436,"1354953228417441797",0
424,2014450,"Valencia",2,1052,"1354954867593400336",0
425,1033055,"Valencia",3,663,"1354957513448427520",0
426,611988,"Barcelona",3,1305,"1354958900655747085",0
427,28428,"Bilbao",1,1287,"1354960539944947715",0
428,535268,"Ibiza",2,1025,"1354960920401870848",0
429,1485986,"Sevilla",5,1014,"1354963062768463873",0
430,1751519,"Bilbao",5,1149,"1354964953531363348",0
431,1268155,"Valencia",1,1153,"1354967347715600384",0
432,1797852,"Madrid",2,738,"1354969741539078146",0
433,1274755,"Madrid",5,447,"1354972387339591685",0
434,1177853,"Sevilla",3,915,"1354975032989143045",0
435,1283643,"Ibiza",2,806,"1354976420565561344",0
436,257209,"Bilbao",3,1494,"1354978814720356353",0
437,1860629,"Bilbao",3,454,"1354980453736992770",0
438,2022930,"Madrid",4,1480,"1354982344344657926",0
439,1317553,"Bilbao",1,1004,"1354984738222694400",0
440,530858,"Sevilla",1,1484,"1354986629111238657",0
441,1633306,"Ibiza",1,1063,"1354988268627124232",0
442,1685476,"Madrid",4,1043,"1354989655939305475",0
443,1076931,"Barcelona",4,532,"1354991043628969984",0
444,624552,"Sevilla",5,456,"1354993437267927042",0
445,1236521,"Oviedo",4,1006,"1354996083152347137",0
446,1039140,"Bilbao",4,1449,"1354998225552498694",0
447,1264901,"Valencia",5,857,"1355000116483141639",0
448,1982560,"Bilbao",5,638,"1355002510688325634",0
449,1984382,"Ibiza",4,991,"1355003897681764354",0
450,1408905,"Ibiza",2,510,"1355005536626995200",0
451,1453299,"Bilbao",2,749,"1355005917109092354",0
452,590512,"Bilbao",2,882,"1355007556134035456",0
453,1669575,"Oviedo",1,546,"1355009195196743682",0
454,1509021,"Barcelona",4,1448,"1355010834242658304",0
455,1985896,"Sevilla",3,1171,"1355013479665717248",0
456,695150,"Barcelona",5,871,"1355014866868822016",0
457,1856936,"Bilbao",2,869,"1355017009076056064",0
458,158113,"Oviedo",5,1414,"1355019403163791362",0
459,524967,"Ibiza",3,1271,"1355021796903419905",0
460,657152,"Barcelona",2,927,"1355023687775301633",0
461,1270621,"Barcelona",1,1415,"1355024068089671685",0
462,974728,"Madrid",4,616,"1355026210393362432",0
463,1255052,"Barcelona",4,1482,"1355028352709644288",0
464,1784027,"Barcelona",1,1272,"1355030998325587970",0
465,2031926,"Madrid",2,451,"1355033392140713992",0
466,1601242,"Sevilla",4,1356,"1355035031291523076",0
467,1312547,"Valencia",3,1462,"1355036921588822016",0
468,1425320,"Madrid",2,1041,"1355039315596898306",0
469,1851227,"Oviedo",1,942,"1355041457783132163",0
470,1359905,"Bilbao",2,1105,"1355043600279724034",0
471,1785054,"Ibiza",4,1399,"1355045993893535745",0
472,1317056,"Bilbao",1,1402,"1355048639559852032",0
473,1879452,"Barcelona",2,1161,"1355050026624577545",0
474,1537393,"Bilbao",1,529,"1355052420498395136",0
475,266174,"Ibiza",2,791,"1355054059468824578",0
476,384117,"Barcelona",4,1256,"1355056453527220225",0
477,299663,"Ibiza",3,615,"1355058595621179395",0
478,991020,"Sevilla",4,515,"1355061241430093827",0
479,1548176,"Oviedo",5,1150,"1355063383947665409",0
480,2033458,"Ibiza",4,600,"1355065777909604353",0
481,1972693,"Oviedo",4,1391,"1355067668458561536",0
482,128754,"Barcelona",2,742,"1355070062713991168",0
483,704311,"Ibiza",5,1487,"1355072708657213442",0
484,1433184,"Bilbao",2,902,"1355074347443093505",0
485,2058131,"Ibiza",2,536,"1355076993210064896",0
486,1543934,"Madrid",4,1024,"1355078884056772609",0
487,410716,"Madrid",5,1025,"1355081026394087427",0
488,1522403,"Oviedo",3,465,"1355083672148439044",0
489,475063,"Oviedo",2,1256,"1355084052534067200",0
490,1273197,"Bilbao",2,1090,"1355086194997080066",0
491,893493,"Bilbao",3,1468,"1355088337229537281",0
492,1087872,"Bilbao",3,795,"1355090479545802758",0
493,1798299,"Oviedo",2,1207,"1355092873566429188",0
494,461400,"Madrid",1,1036,"1355095267150868480",0
495,250664,"Sevilla",1,1459,"1355097661335076864",0
496,946522,"Oviedo",4,535,"1355100055456411649",0
497,2043631,"Madrid",2,435,"1355101694271647746",0
498,1201908,"Sevilla",1,561,"1355103333422424072",0
499,299315,"Valencia",1,644,"1355105475872878592",0
500,743355,"Sevilla",5,1146,"1355107618277220352",0
501,766225,"Oviedo",4,917,"1355109508968828928",0
502,1172020,"Valencia",4,486,"1355109889463496706",0
503,1135599,"Oviedo",1,905,"1355111780398333954",0
504,355099,"Barcelona",4,918,"1355113670829813764",0
505,84653,"Madrid",1,1170,"1355115058494382084",0
